nameWithOwner,stargazerCount,releases,pushedAt,primaryLanguage,closedIssues,totalIssues
codecrafters-io/build-your-own-x,541612,0,2026-07-14T19:25:58Z,Markdown,677,950
sindresorhus/awesome,498232,0,2026-08-18T13:28:50Z,,352,368
public-apis/public-apis,467189,0,2026-08-19T21:44:19Z,Python,910,940
freeCodeCamp/freeCodeCamp,454371,0,2026-08-20T18:46:54Z,TypeScript,21916,22080
EbookFoundation/free-programming-books,394870,0,2026-08-18T14:16:15Z,Python,1255,1293
openclaw/openclaw,386909,234,2026-08-20T23:54:17Z,TypeScript,44215,47749
donnemartin/system-design-primer,365116,0,2026-03-20T01:52:19Z,Python,127,402
nilbuild/developer-roadmap,365015,1,2026-08-20T12:45:59Z,TypeScript,3185,3185
jwasham/coding-interview-university,359351,0,2025-08-28T14:42:47Z,,455,536
vinta/awesome-python,315149,0,2026-08-16T13:31:43Z,Python,0,0
awesome-selfhosted/awesome-selfhosted,313966,1,2026-08-20T18:45:11Z,,0,0
practical-tutorials/project-based-learning,280134,0,2026-08-17T06:46:47Z,Python,88,240
996icu/996.ICU,276730,0,2025-08-22T06:01:29Z,,0,0
obra/superpowers,274926,12,2026-08-19T17:33:23Z,Shell,755,857
react/react,247447,132,2026-08-19T17:57:20Z,JavaScript,13801,14624
torvalds/linux,243443,0,2026-08-20T22:37:46Z,C,0,0
affaan-m/ECC,241454,15,2026-08-19T23:31:56Z,JavaScript,667,711
trimstray/the-book-of-secret-knowledge,239428,0,2024-11-19T14:00:38Z,,0,0
NousResearch/hermes-agent,233533,28,2026-08-20T23:49:53Z,Python,11390,22895
mattpocock/skills,226395,7,2026-08-20T10:35:33Z,Shell,311,680
TheAlgorithms/Python,223901,0,2026-08-03T18:44:56Z,Python,1606,1749
vuejs/vue,210249,249,2024-10-10T07:24:15Z,TypeScript,9670,10034
ossu/computer-science,208256,0,2026-07-14T05:38:25Z,HTML,658,675
multica-ai/andrej-karpathy-skills,204378,0,2026-04-20T10:05:04Z,,0,0
n8n-io/n8n,201376,770,2026-08-20T23:37:02Z,TypeScript,9712,10057
anomalyco/opencode,199546,861,2026-08-20T23:53:13Z,TypeScript,20239,24229
tensorflow/tensorflow,197108,222,2026-08-20T23:52:22Z,C++,40941,41701
trekhleb/javascript-algorithms,196522,0,2026-07-26T02:43:08Z,JavaScript,238,373
ultraworkers/claw-code,195087,0,2026-08-16T06:18:45Z,Rust,2195,2211
DigitalPlatDev/FreeDomain,194556,0,2026-08-12T10:36:46Z,Markdown,0,0
ohmyzsh/ohmyzsh,189272,0,2026-08-20T08:43:08Z,Shell,4925,5079
microsoft/vscode,188992,234,2026-08-20T23:52:34Z,TypeScript,233728,251303
massgravel/Microsoft-Activation-Scripts,187731,31,2026-07-04T16:54:38Z,Batchfile,1067,1075
Significant-Gravitas/AutoGPT,186688,117,2026-08-20T23:48:45Z,Python,3650,3936
yt-dlp/yt-dlp,185881,136,2026-08-20T22:26:03Z,Python,9969,11940
CyC2018/CS-Notes,185521,0,2024-08-21T09:40:10Z,,449,579
jackfrued/Python-100-Days,185452,0,2026-07-29T15:18:29Z,Jupyter Notebook,193,729
getify/You-Dont-Know-JS,184702,0,2026-02-15T04:36:44Z,,947,947
avelino/awesome-go,181715,0,2026-08-20T13:14:59Z,Go,736,759
ollama/ollama,179061,246,2026-08-20T23:29:56Z,Go,8603,11029
flutter/flutter,178531,7,2026-08-20T23:46:57Z,Dart,102690,115251
github/gitignore,175376,0,2026-07-23T16:06:45Z,,0,0
microsoft/markitdown,174934,20,2026-08-19T19:36:22Z,Python,181,572
twbs/bootstrap,174620,94,2026-08-20T22:40:02Z,MDX,22839,22944
deepseek-ai/deepseek-harness,174308,2,2026-08-19T15:37:57Z,TypeScript,0,0
521xueweihan/HelloGitHub,171973,68,2026-08-02T07:58:25Z,Python,2709,3325
anthropics/skills,170684,0,2026-08-18T16:02:06Z,Python,49,367
firecrawl/firecrawl,170091,35,2026-08-20T23:13:09Z,TypeScript,886,959
f/prompts.chat,167650,0,2026-08-20T03:20:51Z,HTML,152,173
AUTOMATIC1111/stable-diffusion-webui,164588,27,2026-03-02T07:00:53Z,Python,5491,7912
huggingface/transformers,164284,269,2026-08-20T23:51:12Z,Python,18468,19338
jlevy/the-art-of-command-line,162142,0,2024-06-25T18:13:44Z,,138,264
Snailclimb/JavaGuide,157909,0,2026-08-18T13:05:40Z,JavaScript,1100,1158
langflow-ai/langflow,153513,304,2026-08-20T23:04:54Z,Python,3209,3425
langgenius/dify,153055,168,2026-08-20T19:15:29Z,TypeScript,18372,18666
open-webui/open-webui,149389,167,2026-08-20T20:37:53Z,Python,9217,9408
airbnb/javascript,148121,0,2026-04-16T19:24:09Z,JavaScript,1316,1416
Genymobile/scrcpy,147987,52,2026-08-17T10:27:07Z,C,3355,6149
msitarzewski/agency-agents,146800,0,2026-08-06T13:29:47Z,Shell,87,145
langchain-ai/langchain,144655,1000,2026-08-20T23:31:52Z,Python,9705,10033
x1xhlol/system-prompts-and-models-of-ai-tools,142952,0,2026-08-11T13:01:09Z,,121,212
anthropics/claude-code,142144,194,2026-08-20T20:33:50Z,Python,71533,85657
yangshun/tech-interview-handbook,142035,0,2026-08-07T12:06:42Z,TypeScript,92,126
vercel/next.js,141881,1000,2026-08-20T23:45:05Z,JavaScript,23402,25217
ytdl-org/youtube-dl,140976,341,2026-02-19T16:45:25Z,Python,23205,26831
clash-verge-rev/clash-verge-rev,139089,67,2026-08-20T19:46:30Z,TypeScript,5428,5815
microsoft/PowerToys,137912,142,2026-08-20T23:36:13Z,C,33784,41176
iptv-org/iptv,136239,0,2026-08-20T16:35:39Z,TypeScript,34616,34862
golang/go,135932,0,2026-08-20T20:44:02Z,Go,63318,72914
labuladong/fucking-algorithm,135386,0,2026-02-28T10:07:31Z,Markdown,981,981
Shubhamsaboo/awesome-llm-apps,133380,0,2026-08-17T02:42:50Z,Python,167,173
ripienaar/free-for-dev,132304,0,2026-08-20T14:57:38Z,HTML,0,0
github/spec-kit,130513,213,2026-08-20T22:52:56Z,Python,1372,1533
excalidraw/excalidraw,130106,15,2026-08-16T15:30:04Z,TypeScript,2650,4919
krahets/hello-algo,129506,10,2026-08-17T20:58:58Z,Java,278,292
garrytan/gstack,128906,0,2026-08-20T05:33:46Z,TypeScript,473,775
Chalarangelo/30-seconds-of-code,128762,12,2026-08-19T06:19:54Z,JavaScript,300,300
Comfy-Org/ComfyUI,128650,153,2026-08-20T23:35:33Z,Python,5047,9153
farion1231/cc-switch,128502,51,2026-08-20T18:35:38Z,Rust,3186,4712
react/react-native,126370,471,2026-08-20T22:03:07Z,C++,27108,27781
ggml-org/llama.cpp,124886,1000,2026-08-20T22:39:37Z,C++,8794,9578
kubernetes/kubernetes,124630,814,2026-08-20T18:59:54Z,Go,47703,49557
electron/electron,122602,1000,2026-08-20T23:03:06Z,C++,21154,21831
shadcn-ui/ui,121732,117,2026-08-20T10:33:36Z,TypeScript,3175,4245
rustdesk/rustdesk,121363,39,2026-08-20T17:26:02Z,Rust,4229,4308
nodejs/node,119051,512,2026-08-20T23:56:28Z,JavaScript,20132,20784
nextlevelbuilder/ui-ux-pro-max-skill,118782,41,2026-08-20T11:49:07Z,Python,135,174
Hack-with-Github/Awesome-Hacking,118707,0,2026-07-26T03:29:02Z,,0,0
justjavac/free-programming-books-zh_CN,118415,3,2026-07-29T00:39:06Z,,0,0
microsoft/generative-ai-for-beginners,118218,0,2026-08-20T03:43:12Z,Jupyter Notebook,244,244
godotengine/godot,115931,72,2026-08-20T21:18:08Z,C++,49988,63397
rust-lang/rust,115653,154,2026-08-20T23:22:27Z,Rust,52269,63558
mrdoob/three.js,114635,177,2026-08-20T21:19:26Z,JavaScript,13499,13746
2dust/v2rayN,114290,333,2026-08-20T02:47:24Z,C#,7122,7142
d3/d3,113505,194,2026-05-28T14:43:01Z,Shell,2242,2247
harry0703/MoneyPrinterTurbo,112907,17,2026-08-20T02:36:40Z,Python,756,776
immich-app/immich,112171,305,2026-08-20T21:41:40Z,TypeScript,8675,9154
jaywcjlove/awesome-mac,111505,15,2026-08-19T05:26:55Z,Swift,403,564
tauri-apps/tauri,110407,0,2026-08-20T10:11:40Z,Rust,5136,6420
microsoft/TypeScript,110311,218,2026-08-20T20:41:20Z,Go,38251,43391
browser-use/browser-use,109885,135,2026-08-19T17:35:21Z,Python,1504,1607
VoltAgent/awesome-design-md,109448,0,2026-07-31T12:32:42Z,,78,385
axios/axios,109190,123,2026-08-20T09:15:58Z,JavaScript,5009,5056
