nameWithOwner,stargazerCount,createdAt,pullRequests,releases,pushedAt,primaryLanguage,closedIssues,totalIssues
codecrafters-io/build-your-own-x,541613,2018-05-09T12:03:18Z,157,0,2026-07-14T19:25:58Z,Markdown,677,950
sindresorhus/awesome,498237,2014-07-11T13:42:37Z,701,0,2026-08-18T13:28:50Z,,352,368
public-apis/public-apis,467198,2016-03-20T23:49:42Z,2153,0,2026-08-19T21:44:19Z,Python,910,940
freeCodeCamp/freeCodeCamp,454370,2014-12-24T17:49:19Z,29136,0,2026-08-20T18:46:54Z,TypeScript,21916,22080
EbookFoundation/free-programming-books,394870,2013-10-11T06:50:37Z,7424,0,2026-08-18T14:16:15Z,Python,1255,1293
openclaw/openclaw,386911,2025-11-24T10:16:47Z,26669,234,2026-08-21T00:20:51Z,TypeScript,44216,47751
donnemartin/system-design-primer,365118,2017-02-26T16:15:28Z,210,0,2026-03-20T01:52:19Z,Python,127,402
nilbuild/developer-roadmap,365015,2017-03-15T13:45:52Z,4400,1,2026-08-20T12:45:59Z,TypeScript,3185,3185
jwasham/coding-interview-university,359350,2016-06-06T02:34:12Z,415,0,2025-08-28T14:42:47Z,,455,536
vinta/awesome-python,315154,2014-06-27T21:00:06Z,741,0,2026-08-16T13:31:43Z,Python,0,0
awesome-selfhosted/awesome-selfhosted,313970,2015-06-01T02:33:17Z,0,1,2026-08-20T18:45:11Z,,0,0
practical-tutorials/project-based-learning,280135,2017-04-12T05:07:46Z,194,0,2026-08-17T06:46:47Z,Python,88,240
996icu/996.ICU,276730,2019-03-26T07:31:14Z,1072,0,2025-08-22T06:01:29Z,,0,0
obra/superpowers,274935,2025-10-09T19:45:18Z,167,12,2026-08-19T17:33:23Z,Shell,755,857
react/react,247448,2013-05-24T16:15:54Z,13035,132,2026-08-19T17:57:20Z,JavaScript,13801,14624
torvalds/linux,243445,2011-09-04T22:48:12Z,0,0,2026-08-21T00:10:16Z,C,0,0
affaan-m/ECC,241459,2026-01-18T00:51:51Z,998,15,2026-08-19T23:31:56Z,JavaScript,667,711
trimstray/the-book-of-secret-knowledge,239429,2018-06-23T10:43:14Z,122,0,2024-11-19T14:00:38Z,,0,0
NousResearch/hermes-agent,233544,2025-07-22T22:22:28Z,11405,28,2026-08-20T23:49:53Z,Python,11391,22898
mattpocock/skills,226436,2026-02-03T11:15:53Z,94,7,2026-08-20T10:35:33Z,Shell,311,680
TheAlgorithms/Python,223900,2016-07-16T09:44:01Z,3088,0,2026-08-03T18:44:56Z,Python,1606,1749
vuejs/vue,210249,2013-07-29T03:24:51Z,1136,249,2024-10-10T07:24:15Z,TypeScript,9670,10034
ossu/computer-science,208253,2014-05-04T00:18:39Z,315,0,2026-07-14T05:38:25Z,HTML,658,675
multica-ai/andrej-karpathy-skills,204386,2026-01-27T03:53:13Z,12,0,2026-04-20T10:05:04Z,,0,0
n8n-io/n8n,201380,2019-06-22T09:24:21Z,20277,770,2026-08-21T00:11:58Z,TypeScript,9712,10057
anomalyco/opencode,199550,2025-04-30T20:08:00Z,7413,861,2026-08-21T00:11:56Z,TypeScript,20239,24229
tensorflow/tensorflow,197108,2015-11-07T01:19:20Z,48928,222,2026-08-21T00:10:45Z,C++,40941,41701
trekhleb/javascript-algorithms,196522,2018-03-24T07:47:04Z,309,0,2026-07-26T02:43:08Z,JavaScript,238,373
ultraworkers/claw-code,195087,2026-03-31T08:58:08Z,143,0,2026-08-16T06:18:45Z,Rust,2195,2211
DigitalPlatDev/FreeDomain,194558,2024-05-30T13:23:00Z,0,0,2026-08-12T10:36:46Z,Markdown,0,0
ohmyzsh/ohmyzsh,189272,2009-08-28T18:15:37Z,3655,0,2026-08-20T08:43:08Z,Shell,4925,5079
microsoft/vscode,188994,2015-09-03T20:23:38Z,52246,234,2026-08-21T00:16:33Z,TypeScript,233730,251305
massgravel/Microsoft-Activation-Scripts,187733,2020-01-12T23:03:34Z,7,31,2026-07-04T16:54:38Z,Batchfile,1067,1075
Significant-Gravitas/AutoGPT,186688,2023-03-16T09:21:07Z,4786,117,2026-08-20T23:48:45Z,Python,3650,3936
yt-dlp/yt-dlp,185882,2020-10-26T04:22:55Z,3418,136,2026-08-20T22:26:03Z,Python,9969,11940
CyC2018/CS-Notes,185521,2018-02-13T14:56:24Z,374,0,2024-08-21T09:40:10Z,,449,579
jackfrued/Python-100-Days,185452,2018-03-01T16:05:52Z,13,0,2026-07-29T15:18:29Z,Jupyter Notebook,193,729
getify/You-Dont-Know-JS,184702,2013-11-16T02:37:24Z,370,0,2026-02-15T04:36:44Z,,947,947
avelino/awesome-go,181717,2014-07-06T13:42:15Z,3882,0,2026-08-20T13:14:59Z,Go,736,759
ollama/ollama,179062,2023-06-26T19:39:32Z,3537,246,2026-08-20T23:58:33Z,Go,8603,11030
flutter/flutter,178531,2015-03-06T22:54:58Z,49699,7,2026-08-21T00:08:36Z,Dart,102692,115251
github/gitignore,175376,2010-11-08T20:17:14Z,1779,0,2026-07-23T16:06:45Z,,0,0
microsoft/markitdown,174937,2024-11-13T19:56:40Z,184,20,2026-08-19T19:36:22Z,Python,181,572
twbs/bootstrap,174620,2011-07-29T21:19:00Z,9488,94,2026-08-20T22:40:02Z,MDX,22839,22944
deepseek-ai/deepseek-harness,174399,2026-08-13T11:56:32Z,0,2,2026-08-19T15:37:57Z,TypeScript,0,0
521xueweihan/HelloGitHub,171975,2016-05-04T06:24:11Z,17,68,2026-08-02T07:58:25Z,Python,2709,3325
anthropics/skills,170685,2025-09-22T15:53:31Z,50,0,2026-08-18T16:02:06Z,Python,49,368
firecrawl/firecrawl,170094,2024-04-15T21:02:29Z,1952,35,2026-08-20T23:13:09Z,TypeScript,886,959
f/prompts.chat,167651,2022-12-05T13:54:13Z,236,0,2026-08-20T03:20:51Z,HTML,152,173
AUTOMATIC1111/stable-diffusion-webui,164588,2022-08-22T14:05:26Z,1875,27,2026-03-02T07:00:53Z,Python,5491,7912
huggingface/transformers,164285,2018-10-29T13:56:00Z,20231,269,2026-08-20T23:51:12Z,Python,18468,19338
jlevy/the-art-of-command-line,162142,2015-05-20T15:11:03Z,317,0,2024-06-25T18:13:44Z,,138,264
Snailclimb/JavaGuide,157909,2018-05-07T13:27:00Z,1270,0,2026-08-18T13:05:40Z,JavaScript,1100,1158
langflow-ai/langflow,153513,2023-02-08T22:28:03Z,7341,304,2026-08-21T00:19:02Z,Python,3209,3425
langgenius/dify,153057,2023-04-12T07:40:24Z,13476,168,2026-08-20T19:15:29Z,TypeScript,18372,18666
open-webui/open-webui,149390,2023-10-06T22:08:27Z,4080,167,2026-08-20T20:37:53Z,Python,9216,9407
airbnb/javascript,148121,2012-11-01T23:13:50Z,822,0,2026-04-16T19:24:09Z,JavaScript,1316,1416
Genymobile/scrcpy,147987,2017-11-21T18:00:27Z,153,52,2026-08-17T10:27:07Z,C,3355,6149
msitarzewski/agency-agents,146807,2025-10-13T12:12:29Z,222,0,2026-08-06T13:29:47Z,Shell,87,145
langchain-ai/langchain,144655,2022-10-17T02:58:36Z,17285,1000,2026-08-20T23:31:52Z,Python,9702,10030
x1xhlol/system-prompts-and-models-of-ai-tools,142952,2025-03-05T16:38:29Z,52,0,2026-08-11T13:01:09Z,,121,212
anthropics/claude-code,142147,2025-02-22T17:41:21Z,162,194,2026-08-20T20:33:50Z,Python,71533,85660
yangshun/tech-interview-handbook,142035,2016-07-05T05:00:48Z,494,0,2026-08-07T12:06:42Z,TypeScript,92,126
vercel/next.js,141881,2016-10-05T23:32:51Z,28258,1000,2026-08-21T00:11:19Z,JavaScript,23402,25217
ytdl-org/youtube-dl,140976,2010-10-31T14:35:07Z,1646,341,2026-02-19T16:45:25Z,Python,23205,26831
clash-verge-rev/clash-verge-rev,139090,2023-11-21T18:24:03Z,1016,67,2026-08-20T19:46:30Z,TypeScript,5428,5815
microsoft/PowerToys,137913,2019-05-01T17:44:02Z,7013,142,2026-08-21T00:16:07Z,C,33784,41177
iptv-org/iptv,136241,2018-11-14T22:00:57Z,6999,0,2026-08-20T16:35:39Z,TypeScript,34616,34862
golang/go,135932,2014-08-19T04:33:40Z,1,0,2026-08-20T20:44:02Z,Go,63323,72914
labuladong/fucking-algorithm,135386,2020-02-19T09:01:23Z,244,0,2026-02-28T10:07:31Z,Markdown,981,981
Shubhamsaboo/awesome-llm-apps,133381,2024-04-29T05:30:25Z,242,0,2026-08-17T02:42:50Z,Python,167,173
ripienaar/free-for-dev,132313,2015-03-18T21:06:26Z,3081,0,2026-08-20T14:57:38Z,HTML,0,0
github/spec-kit,130516,2025-08-21T22:54:31Z,1417,213,2026-08-20T22:52:56Z,Python,1372,1533
excalidraw/excalidraw,130107,2020-01-02T01:04:43Z,3961,15,2026-08-16T15:30:04Z,TypeScript,2650,4919
krahets/hello-algo,129506,2022-11-04T11:08:34Z,996,10,2026-08-17T20:58:58Z,Java,278,292
garrytan/gstack,128910,2026-03-11T21:22:45Z,310,0,2026-08-20T05:33:46Z,TypeScript,473,775
Chalarangelo/30-seconds-of-code,128762,2017-11-29T17:35:03Z,856,12,2026-08-19T06:19:54Z,JavaScript,300,300
Comfy-Org/ComfyUI,128652,2023-01-17T03:15:56Z,3170,153,2026-08-21T00:16:36Z,Python,5047,9153
farion1231/cc-switch,128505,2025-08-04T14:16:16Z,458,51,2026-08-20T18:35:38Z,Rust,3186,4712
react/react-native,126370,2015-01-09T18:10:16Z,999,471,2026-08-20T22:03:07Z,C++,27108,27781
ggml-org/llama.cpp,124888,2023-03-10T18:58:00Z,9790,1000,2026-08-21T00:19:30Z,C++,8794,9578
kubernetes/kubernetes,124630,2014-06-06T22:56:04Z,65651,814,2026-08-20T18:59:54Z,Go,47703,49557
electron/electron,122602,2013-04-12T01:47:36Z,26700,1000,2026-08-21T00:12:50Z,C++,21154,21831
shadcn-ui/ui,121732,2023-01-04T12:43:27Z,1448,117,2026-08-20T10:33:36Z,TypeScript,3175,4245
rustdesk/rustdesk,121363,2020-09-28T15:36:08Z,4208,39,2026-08-20T17:26:02Z,Rust,4229,4308
nodejs/node,119052,2014-11-26T19:57:11Z,13241,512,2026-08-20T23:56:28Z,JavaScript,20132,20784
nextlevelbuilder/ui-ux-pro-max-skill,118796,2025-11-30T11:36:31Z,140,41,2026-08-20T11:49:07Z,Python,135,174
Hack-with-Github/Awesome-Hacking,118708,2016-03-30T15:47:10Z,41,0,2026-07-26T03:29:02Z,,0,0
justjavac/free-programming-books-zh_CN,118415,2013-11-04T01:59:19Z,300,3,2026-07-29T00:39:06Z,,0,0
microsoft/generative-ai-for-beginners,118220,2023-06-19T16:28:59Z,601,0,2026-08-20T03:43:12Z,Jupyter Notebook,244,244
godotengine/godot,115931,2014-01-04T16:05:36Z,43417,72,2026-08-20T21:18:08Z,C++,49988,63397
rust-lang/rust,115654,2010-06-16T20:39:03Z,73628,154,2026-08-20T23:22:27Z,Rust,52269,63558
mrdoob/three.js,114637,2010-03-23T18:58:01Z,16008,177,2026-08-20T21:19:26Z,JavaScript,13499,13746
2dust/v2rayN,114289,2019-07-30T03:47:24Z,607,333,2026-08-20T02:47:24Z,C#,7122,7142
d3/d3,113505,2010-09-27T17:22:42Z,495,194,2026-05-28T14:43:01Z,Shell,2242,2247
harry0703/MoneyPrinterTurbo,112919,2024-03-11T02:57:34Z,204,17,2026-08-20T02:36:40Z,Python,756,776
immich-app/immich,112171,2022-02-03T15:56:27Z,10044,305,2026-08-20T21:41:40Z,TypeScript,8675,9154
jaywcjlove/awesome-mac,111505,2016-07-17T15:33:47Z,1245,15,2026-08-19T05:26:55Z,Swift,403,564
tauri-apps/tauri,110407,2019-07-13T09:09:37Z,5676,0,2026-08-21T00:22:10Z,Rust,5136,6420
microsoft/TypeScript,110312,2014-06-17T15:28:39Z,14898,218,2026-08-20T20:41:20Z,Go,38251,43391
browser-use/browser-use,109887,2024-10-31T16:00:56Z,1897,135,2026-08-21T00:00:12Z,Python,1504,1607
VoltAgent/awesome-design-md,109451,2026-03-31T16:37:01Z,6,0,2026-07-31T12:32:42Z,,78,385
axios/axios,109190,2014-08-18T22:30:27Z,1483,123,2026-08-20T09:15:58Z,JavaScript,5009,5056
fatedier/frp,108909,2015-12-21T15:24:59Z,861,116,2026-08-17T16:24:14Z,Go,4100,4143
papers-we-love/papers-we-love,108883,2013-12-15T14:31:41Z,444,0,2026-07-01T09:14:27Z,Shell,250,252
Graphify-Labs/graphify,108687,2026-04-03T15:49:07Z,135,194,2026-08-20T16:39:37Z,Python,922,1410
denoland/deno,108272,2018-05-15T01:34:26Z,16464,388,2026-08-20T16:14:58Z,Rust,13827,15010
supabase/supabase,108219,2019-10-12T05:56:49Z,18730,30,2026-08-20T23:58:25Z,TypeScript,5571,5844
openai/whisper,107681,2022-09-16T20:02:54Z,122,13,2026-07-28T20:18:29Z,Python,0,0
openai/codex,107183,2025-04-13T05:37:54Z,9739,1000,2026-08-21T00:18:59Z,Rust,10518,23612
DietrichGebert/ponytail,106684,2026-06-12T00:52:37Z,174,15,2026-08-07T21:44:01Z,JavaScript,211,273
google-gemini/gemini-cli,106595,2025-04-17T17:04:31Z,6661,592,2026-08-20T23:46:17Z,TypeScript,13669,14227
goldbergyoni/nodebestpractices,105590,2017-09-15T08:33:19Z,766,0,2026-06-15T11:41:04Z,Dockerfile,288,342
microsoft/terminal,104639,2017-08-11T18:38:22Z,4521,156,2026-08-20T15:48:57Z,C++,12413,14060
deepseek-ai/DeepSeek-V3,104359,2024-12-26T09:52:40Z,25,1,2025-08-28T03:24:37Z,Python,945,1086
react/create-react-app,103288,2016-07-17T14:55:11Z,1949,83,2025-02-15T01:32:11Z,JavaScript,6576,8432
rasbt/LLMs-from-scratch,103125,2023-07-23T18:15:57Z,507,0,2026-08-10T01:11:40Z,Jupyter Notebook,238,240
pytorch/pytorch,102504,2016-08-13T05:26:41Z,6601,68,2026-08-21T00:25:42Z,Python,46564,60457
Anduin2017/HowToCook,101911,2020-02-29T10:43:49Z,646,5,2026-08-20T07:14:07Z,,393,857
neovim/neovim,101898,2014-01-31T13:39:22Z,19672,54,2026-08-20T23:46:35Z,Vim Script,12904,14493
fastapi/fastapi,101734,2018-12-08T08:21:47Z,3569,300,2026-08-19T08:58:11Z,Python,3543,3544
angular/angular,101003,2014-09-18T16:12:01Z,7381,693,2026-08-19T20:48:22Z,TypeScript,29908,30899
ruanyf/weekly,100846,2018-10-13T12:36:07Z,120,0,2026-08-21T00:10:40Z,,1695,10450
mtdvio/every-programmer-should-know,100274,2017-08-24T13:18:26Z,109,0,2025-12-29T19:37:02Z,,31,47
JuliusBrussee/caveman,99625,2026-04-04T10:03:00Z,59,24,2026-08-20T11:18:26Z,Go,185,356
ant-design/ant-design,99130,2015-04-24T15:37:24Z,18247,759,2026-08-21T00:05:41Z,TypeScript,31757,32770
TauricResearch/TradingAgents,99062,2024-12-28T03:31:08Z,27,8,2026-07-18T15:55:05Z,Python,273,457
mui/material-ui,98877,2014-08-18T19:11:54Z,22184,572,2026-08-20T13:46:18Z,JavaScript,19137,20515
nvbn/thefuck,97724,2015-04-08T15:08:04Z,482,17,2024-07-19T14:56:13Z,Python,483,791
tailwindlabs/tailwindcss,97292,2017-10-06T14:59:14Z,3476,307,2026-08-14T19:43:34Z,TypeScript,4877,4903
florinpop17/app-ideas,96957,2019-02-25T18:36:56Z,151,0,2025-10-11T14:51:21Z,,53,201
microsoft/Web-Dev-For-Beginners,96407,2020-11-10T02:44:00Z,689,0,2026-08-05T10:13:10Z,JavaScript,392,459
hacksider/Deep-Live-Cam,96026,2023-09-24T13:19:31Z,122,13,2026-08-13T22:44:22Z,Python,1156,1178
oven-sh/bun,95512,2021-04-14T00:48:17Z,9805,215,2026-08-21T00:26:09Z,Rust,14340,17599
puppeteer/puppeteer,95474,2017-05-09T22:16:13Z,6214,701,2026-08-20T14:27:22Z,TypeScript,7154,7401
microsoft/playwright,94834,2019-11-15T18:32:42Z,17732,165,2026-08-20T22:57:55Z,TypeScript,17692,17831
ryanmcdermott/clean-code-javascript,94758,2016-11-25T22:25:41Z,149,0,2024-07-29T07:24:37Z,JavaScript,166,247
nvm-sh/nvm,94664,2010-04-15T17:47:47Z,761,74,2026-08-18T06:42:47Z,Shell,2111,2448
iluwatar/java-design-patterns,94596,2014-08-09T16:45:18Z,1578,0,2026-08-17T22:42:48Z,Java,865,986
earendil-works/pi,94404,2025-08-09T14:03:50Z,914,255,2026-08-20T21:09:43Z,TypeScript,5145,5231
karpathy/autoresearch,94284,2026-03-06T22:00:43Z,7,0,2026-03-26T00:07:37Z,Python,59,113
punkpeye/awesome-mcp-servers,92622,2024-11-30T04:49:10Z,3392,0,2026-08-17T21:28:42Z,,551,556
deepseek-ai/DeepSeek-R1,92032,2025-01-20T11:57:28Z,10,1,2025-06-27T08:35:54Z,,716,729
3b1b/manim,91776,2015-03-22T18:50:58Z,702,13,2026-08-18T21:03:49Z,Python,775,1237
thedotmack/claude-mem,91371,2025-08-31T20:50:03Z,510,308,2026-08-20T16:23:20Z,JavaScript,1910,1937
ruvnet/RuView,91100,2025-06-07T04:32:30Z,405,287,2026-08-21T00:18:59Z,Rust,435,472
storybookjs/storybook,90882,2016-03-18T04:23:44Z,13144,1000,2026-08-20T20:40:22Z,TypeScript,12961,14539
opencv/opencv,90525,2012-07-19T09:40:17Z,14064,69,2026-08-20T10:59:11Z,C++,9098,11639
louislam/uptime-kuma,90413,2021-07-03T01:02:42Z,1816,131,2026-08-20T00:33:05Z,JavaScript,4224,4934
PanJiaChen/vue-element-admin,90207,2017-04-17T03:35:49Z,311,49,2024-10-24T11:25:46Z,Vue,2357,3613
home-assistant/core,90010,2013-09-17T07:29:48Z,90180,1000,2026-08-20T21:29:29Z,Python,70468,73350
bitcoin/bitcoin,89954,2010-12-19T15:16:43Z,16837,68,2026-08-20T21:13:41Z,C++,8842,9177
Stirling-Tools/Stirling-PDF,89944,2023-01-27T18:22:42Z,4143,186,2026-08-20T22:25:03Z,Java,1498,1862
sherlock-project/sherlock,89893,2018-12-24T14:30:48Z,744,2,2026-08-20T05:35:33Z,Python,1078,1176
mermaid-js/mermaid,89863,2014-11-01T23:52:32Z,2822,206,2026-08-20T16:53:46Z,TypeScript,2341,3784
nexu-io/open-design,89751,2026-04-28T04:25:20Z,2911,29,2026-08-20T18:38:03Z,TypeScript,1354,1800
modelcontextprotocol/servers,89721,2024-11-19T01:10:17Z,1229,27,2026-08-20T01:12:36Z,TypeScript,934,1179
